[D] Systrack v0.7
[D] Command line: systrack -vvvv --format json --arch riscv --kdir /mnt/m2data/linux-worktrees/v6.14 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv-v6.14
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv-v6.14
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv-v6.14
Detected kernel version: 6.14.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=True, abi='rv32', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xc1400c80, type=OBJECT, size=0x74c)
[D] sys_call_table[37]: Symbol("__riscv_sys_linkat" at 0xc026acaa, type=FUNC, size=0x24)
[D] sys_call_table[38]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[39]: Symbol("__riscv_sys_umount" at 0xc027f9e0, type=FUNC, size=0x24)
[D] sys_call_table[40]: Symbol("__riscv_sys_mount" at 0xc0281da4, type=FUNC, size=0x24)
[D] sys_call_table[41]: Symbol("__riscv_sys_pivot_root" at 0xc028285c, type=FUNC, size=0x24)
[D] sys_call_table[42]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[43]: Symbol("__riscv_sys_statfs64" at 0xc0298a10, type=FUNC, size=0x24)
[D] sys_call_table[44]: Symbol("__riscv_sys_fstatfs64" at 0xc0298b30, type=FUNC, size=0x24)
[D] sys_call_table[45]: Symbol("__riscv_sys_truncate64" at 0xc0254596, type=FUNC, size=0x24)
[D] sys_call_table[46]: Symbol("__riscv_sys_ftruncate64" at 0xc02545ce, type=FUNC, size=0x24)
[D] sys_call_table[47]: Symbol("__riscv_sys_fallocate" at 0xc02546c6, type=FUNC, size=0x24)
[D] sys_call_table[48]: Symbol("__riscv_sys_faccessat" at 0xc0254700, type=FUNC, size=0x24)
[D] sys_call_table[49]: Symbol("__riscv_sys_chdir" at 0xc0254848, type=FUNC, size=0x24)
[D] sys_call_table[50]: Symbol("__riscv_sys_fchdir" at 0xc02548fa, type=FUNC, size=0x24)
[D] sys_call_table[51]: Symbol("__riscv_sys_chroot" at 0xc02549f2, type=FUNC, size=0x24)
[D] sys_call_table[52]: Symbol("__riscv_sys_fchmod" at 0xc0254c1c, type=FUNC, size=0x24)
[D] sys_call_table[53]: Symbol("__riscv_sys_fchmodat" at 0xc0254dc4, type=FUNC, size=0x24)
[D] sys_call_table[54]: Symbol("__riscv_sys_fchownat" at 0xc0255166, type=FUNC, size=0x24)
[D] sys_call_table[55]: Symbol("__riscv_sys_fchown" at 0xc0255454, type=FUNC, size=0x24)
[D] sys_call_table[56]: Symbol("__riscv_sys_openat" at 0xc0255c6e, type=FUNC, size=0x24)
[D] sys_call_table[57]: Symbol("__riscv_sys_close" at 0xc0255ea8, type=FUNC, size=0x24)
[D] sys_call_table[58]: Symbol("__riscv_sys_vhangup" at 0xc0255ecc, type=FUNC, size=0x2a)
[D] sys_call_table[59]: Symbol("__riscv_sys_pipe2" at 0xc026300a, type=FUNC, size=0x24)
[D] sys_call_table[60]: Symbol("__riscv_sys_quotactl" at 0xc02d63e6, type=FUNC, size=0x24)
[D] sys_call_table[61]: Symbol("__riscv_sys_getdents64" at 0xc026e090, type=FUNC, size=0x24)
[D] sys_call_table[62]: Symbol("__riscv_sys_llseek" at 0xc02579e6, type=FUNC, size=0x24)
[D] sys_call_table[63]: Symbol("__riscv_sys_read" at 0xc0258874, type=FUNC, size=0x24)
[D] sys_call_table[64]: Symbol("__riscv_sys_write" at 0xc025897e, type=FUNC, size=0x24)
[D] sys_call_table[65]: Symbol("__riscv_sys_readv" at 0xc0258c62, type=FUNC, size=0x24)
[D] sys_call_table[66]: Symbol("__riscv_sys_writev" at 0xc0258c9c, type=FUNC, size=0x24)
[D] sys_call_table[67]: Symbol("__riscv_sys_pread64" at 0xc0258ad4, type=FUNC, size=0x24)
[D] sys_call_table[68]: Symbol("__riscv_sys_pwrite64" at 0xc0258c28, type=FUNC, size=0x24)
[D] sys_call_table[69]: Symbol("__riscv_sys_preadv" at 0xc0258d6a, type=FUNC, size=0x24)
[D] sys_call_table[70]: Symbol("__riscv_sys_pwritev" at 0xc0258f1c, type=FUNC, size=0x24)
[D] sys_call_table[71]: Symbol("__riscv_sys_sendfile64" at 0xc0259220, type=FUNC, size=0x24)
[D] sys_call_table[72]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[73]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[74]: Symbol("__riscv_sys_signalfd4" at 0xc02b0aa2, type=FUNC, size=0x24)
[D] sys_call_table[75]: Symbol("__riscv_sys_vmsplice" at 0xc0296006, type=FUNC, size=0x24)
[D] sys_call_table[76]: Symbol("__riscv_sys_splice" at 0xc0296226, type=FUNC, size=0x24)
[D] sys_call_table[77]: Symbol("__riscv_sys_tee" at 0xc02965f6, type=FUNC, size=0x24)
[D] sys_call_table[78]: Symbol("__riscv_sys_readlinkat" at 0xc025ea74, type=FUNC, size=0x24)
[D] sys_call_table[79]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[80]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[81]: Symbol("__riscv_sys_sync" at 0xc0296944, type=FUNC, size=0x14)
[D] sys_call_table[82]: Symbol("__riscv_sys_fsync" at 0xc0296a84, type=FUNC, size=0x24)
[D] sys_call_table[83]: Symbol("__riscv_sys_fdatasync" at 0xc0296abc, type=FUNC, size=0x24)
[D] sys_call_table[84]: Symbol("__riscv_sys_sync_file_range" at 0xc0296ce0, type=FUNC, size=0x24)
[D] sys_call_table[85]: Symbol("__riscv_sys_timerfd_create" at 0xc02b1b66, type=FUNC, size=0x24)
[D] sys_call_table[86]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[87]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[88]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[89]: Symbol("__riscv_sys_acct" at 0xc00d468a, type=FUNC, size=0x24)
[D] sys_call_table[90]: Symbol("__riscv_sys_capget" at 0xc002ae80, type=FUNC, size=0x24)
[D] sys_call_table[91]: Symbol("__riscv_sys_capset" at 0xc002b042, type=FUNC, size=0x24)
[D] sys_call_table[92]: Symbol("__riscv_sys_personality" at 0xc001f4c2, type=FUNC, size=0x24)
[D] sys_call_table[93]: Symbol("__riscv_sys_exit" at 0xc0024e62, type=FUNC, size=0x1c)
[D] sys_call_table[94]: Symbol("__riscv_sys_exit_group" at 0xc0024efe, type=FUNC, size=0x1c)
[D] sys_call_table[95]: Symbol("__riscv_sys_waitid" at 0xc0025540, type=FUNC, size=0x24)
[D] sys_call_table[96]: Symbol("__riscv_sys_set_tid_address" at 0xc001cd70, type=FUNC, size=0x24)
[D] sys_call_table[97]: Symbol("__riscv_sys_unshare" at 0xc001f338, type=FUNC, size=0x24)
[D] sys_call_table[98]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[99]: Symbol("__riscv_sys_set_robust_list" at 0xc00cdbf0, type=FUNC, size=0x24)
[D] sys_call_table[100]: Symbol("__riscv_sys_get_robust_list" at 0xc00cdcfe, type=FUNC, size=0x24)
[D] sys_call_table[101]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[102]: Symbol("__riscv_sys_getitimer" at 0xc00c4c40, type=FUNC, size=0x24)
[D] sys_call_table[103]: Symbol("__riscv_sys_setitimer" at 0xc00c4f78, type=FUNC, size=0x24)
[D] sys_call_table[104]: Symbol("__riscv_sys_kexec_load" at 0xc00d68f2, type=FUNC, size=0x24)
[D] sys_call_table[105]: Symbol("__riscv_sys_init_module" at 0xc00ab7b0, type=FUNC, size=0x24)
[D] sys_call_table[106]: Symbol("__riscv_sys_delete_module" at 0xc00abdc4, type=FUNC, size=0x24)
[D] sys_call_table[107]: Symbol("__riscv_sys_timer_create" at 0xc00c0c72, type=FUNC, size=0x24)
[D] sys_call_table[108]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[109]: Symbol("__riscv_sys_timer_getoverrun" at 0xc00c0e3c, type=FUNC, size=0x24)
[D] sys_call_table[110]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[111]: Symbol("__riscv_sys_timer_delete" at 0xc00c1224, type=FUNC, size=0x24)
[D] sys_call_table[112]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[113]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[114]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[115]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[116]: Symbol("__riscv_sys_syslog" at 0xc008111a, type=FUNC, size=0x24)
[D] sys_call_table[117]: Symbol("__riscv_sys_ptrace" at 0xc002be7c, type=FUNC, size=0x24)
[D] sys_call_table[118]: Symbol("__riscv_sys_sched_setparam" at 0xc006f320, type=FUNC, size=0x24)
[D] sys_call_table[119]: Symbol("__riscv_sys_sched_setscheduler" at 0xc006f2e6, type=FUNC, size=0x24)
[D] sys_call_table[120]: Symbol("__riscv_sys_sched_getscheduler" at 0xc006f6b4, type=FUNC, size=0x24)
[D] sys_call_table[121]: Symbol("__riscv_sys_sched_getparam" at 0xc006f79a, type=FUNC, size=0x24)
[D] sys_call_table[122]: Symbol("__riscv_sys_sched_setaffinity" at 0xc006fd64, type=FUNC, size=0x24)
[D] sys_call_table[123]: Symbol("__riscv_sys_sched_getaffinity" at 0xc006fed4, type=FUNC, size=0x24)
[D] sys_call_table[124]: Symbol("__riscv_sys_sched_yield" at 0xc006fef8, type=FUNC, size=0x16)
[D] sys_call_table[125]: Symbol("__riscv_sys_sched_get_priority_max" at 0xc006ff52, type=FUNC, size=0x24)
[D] sys_call_table[126]: Symbol("__riscv_sys_sched_get_priority_min" at 0xc006ffb8, type=FUNC, size=0x24)
[D] sys_call_table[127]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[128]: Symbol("__riscv_sys_restart_syscall" at 0xc002f5cc, type=FUNC, size=0x1a)
[D] sys_call_table[129]: Symbol("__riscv_sys_kill" at 0xc0031d88, type=FUNC, size=0x24)
[D] sys_call_table[130]: Symbol("__riscv_sys_tkill" at 0xc0032186, type=FUNC, size=0x24)
[D] sys_call_table[131]: Symbol("__riscv_sys_tgkill" at 0xc00320ca, type=FUNC, size=0x24)
[D] sys_call_table[132]: Symbol("__riscv_sys_sigaltstack" at 0xc0032780, type=FUNC, size=0x24)
[D] sys_call_table[133]: Symbol("__riscv_sys_rt_sigsuspend" at 0xc0032af6, type=FUNC, size=0x24)
[D] sys_call_table[134]: Symbol("__riscv_sys_rt_sigaction" at 0xc0032922, type=FUNC, size=0x24)
[D] sys_call_table[135]: Symbol("__riscv_sys_rt_sigprocmask" at 0xc002f7f0, type=FUNC, size=0x24)
[D] sys_call_table[136]: Symbol("__riscv_sys_rt_sigpending" at 0xc002f8dc, type=FUNC, size=0x24)
[D] sys_call_table[137]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[138]: Symbol("__riscv_sys_rt_sigqueueinfo" at 0xc0032282, type=FUNC, size=0x24)
[D] sys_call_table[139]: Symbol("__riscv_sys_rt_sigreturn" at 0xc0010978, type=FUNC, size=0x310)
[D] sys_call_table[140]: Symbol("__riscv_sys_setpriority" at 0xc0033f64, type=FUNC, size=0x24)
[D] sys_call_table[141]: Symbol("__riscv_sys_getpriority" at 0xc003417e, type=FUNC, size=0x24)
[D] sys_call_table[142]: Symbol("__riscv_sys_reboot" at 0xc00492f2, type=FUNC, size=0x24)
[D] sys_call_table[143]: Symbol("__riscv_sys_setregid" at 0xc00342de, type=FUNC, size=0x24)
[D] sys_call_table[144]: Symbol("__riscv_sys_setgid" at 0xc00343de, type=FUNC, size=0x24)
[D] sys_call_table[145]: Symbol("__riscv_sys_setreuid" at 0xc003460c, type=FUNC, size=0x24)
[D] sys_call_table[146]: Symbol("__riscv_sys_setuid" at 0xc0034720, type=FUNC, size=0x24)
[D] sys_call_table[147]: Symbol("__riscv_sys_setresuid" at 0xc0034a98, type=FUNC, size=0x24)
[D] sys_call_table[148]: Symbol("__riscv_sys_getresuid" at 0xc0034ba0, type=FUNC, size=0x24)
[D] sys_call_table[149]: Symbol("__riscv_sys_setresgid" at 0xc0034eda, type=FUNC, size=0x24)
[D] sys_call_table[150]: Symbol("__riscv_sys_getresgid" at 0xc0034fe2, type=FUNC, size=0x24)
[D] sys_call_table[151]: Symbol("__riscv_sys_setfsuid" at 0xc00350c0, type=FUNC, size=0x24)
[D] sys_call_table[152]: Symbol("__riscv_sys_setfsgid" at 0xc003519e, type=FUNC, size=0x24)
[D] sys_call_table[153]: Symbol("__riscv_sys_times" at 0xc00353a0, type=FUNC, size=0x24)
[D] sys_call_table[154]: Symbol("__riscv_sys_setpgid" at 0xc00354ea, type=FUNC, size=0x24)
[D] sys_call_table[155]: Symbol("__riscv_sys_getpgid" at 0xc0035578, type=FUNC, size=0x24)
[D] sys_call_table[156]: Symbol("__riscv_sys_getsid" at 0xc0035606, type=FUNC, size=0x24)
[D] sys_call_table[157]: Symbol("__riscv_sys_setsid" at 0xc00356d8, type=FUNC, size=0x12)
[D] sys_call_table[158]: Symbol("__riscv_sys_getgroups" at 0xc004af2a, type=FUNC, size=0x24)
[D] sys_call_table[159]: Symbol("__riscv_sys_setgroups" at 0xc004b116, type=FUNC, size=0x24)
[D] sys_call_table[160]: Symbol("__riscv_sys_newuname" at 0xc00356fe, type=FUNC, size=0x24)
[D] sys_call_table[161]: Symbol("__riscv_sys_sethostname" at 0xc0035806, type=FUNC, size=0x24)
[D] sys_call_table[162]: Symbol("__riscv_sys_setdomainname" at 0xc003590e, type=FUNC, size=0x24)
[D] sys_call_table[163]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[164]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[165]: Symbol("__riscv_sys_getrusage" at 0xc0036118, type=FUNC, size=0x24)
[D] sys_call_table[166]: Symbol("__riscv_sys_umask" at 0xc003615a, type=FUNC, size=0x24)
[D] sys_call_table[167]: Symbol("__riscv_sys_prctl" at 0xc00368c0, type=FUNC, size=0x24)
[D] sys_call_table[168]: Symbol("__riscv_sys_getcpu" at 0xc00369ae, type=FUNC, size=0x24)
[D] sys_call_table[169]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[170]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[171]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[172]: Symbol("__riscv_sys_getpid" at 0xc00351c2, type=FUNC, size=0x1a)
[D] sys_call_table[173]: Symbol("__riscv_sys_getppid" at 0xc00351f6, type=FUNC, size=0x30)
[D] sys_call_table[174]: Symbol("__riscv_sys_getuid" at 0xc0035226, type=FUNC, size=0x1c)
[D] sys_call_table[175]: Symbol("__riscv_sys_geteuid" at 0xc0035242, type=FUNC, size=0x1c)
[D] sys_call_table[176]: Symbol("__riscv_sys_getgid" at 0xc003525e, type=FUNC, size=0x1c)
[D] sys_call_table[177]: Symbol("__riscv_sys_getegid" at 0xc003527a, type=FUNC, size=0x1c)
[D] sys_call_table[178]: Symbol("__riscv_sys_gettid" at 0xc00351dc, type=FUNC, size=0x1a)
[D] sys_call_table[179]: Symbol("__riscv_sys_sysinfo" at 0xc0036b16, type=FUNC, size=0x24)
[D] sys_call_table[180]: Symbol("__riscv_sys_mq_open" at 0xc0424ede, type=FUNC, size=0x24)
[D] sys_call_table[181]: Symbol("__riscv_sys_mq_unlink" at 0xc0425022, type=FUNC, size=0x24)
[D] sys_call_table[182]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[183]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[184]: Symbol("__riscv_sys_mq_notify" at 0xc0425572, type=FUNC, size=0x24)
[D] sys_call_table[185]: Symbol("__riscv_sys_mq_getsetattr" at 0xc0425812, type=FUNC, size=0x24)
[D] sys_call_table[186]: Symbol("__riscv_sys_msgget" at 0xc041cdf4, type=FUNC, size=0x24)
[D] sys_call_table[187]: Symbol("__riscv_sys_msgctl" at 0xc041ce2c, type=FUNC, size=0x24)
[D] sys_call_table[188]: Symbol("__riscv_sys_msgrcv" at 0xc041d340, type=FUNC, size=0x24)
[D] sys_call_table[189]: Symbol("__riscv_sys_msgsnd" at 0xc041d2f4, type=FUNC, size=0x24)
[D] sys_call_table[190]: Symbol("__riscv_sys_semget" at 0xc041f0ba, type=FUNC, size=0x24)
[D] sys_call_table[191]: Symbol("__riscv_sys_semctl" at 0xc041f8cc, type=FUNC, size=0x26)
[D] sys_call_table[192]: Symbol("__riscv_sys_ni_syscall" at 0xc00113c2, type=FUNC, size=0x14)
[D] sys_call_table[193]: Symbol("__riscv_sys_semop" at 0xc0420b60, type=FUNC, size=0x24)
[D] sys_call_table[194]: Symbol("__riscv_sys_shmget" at 0xc04226f6, type=FUNC, size=0x24)
[D] sys_call_table[195]: Symbol("__riscv_sys_shmctl" at 0xc042272e, type=FUNC, size=0x24)
[D] sys_call_table[196]: Symbol("__riscv_sys_shmat" at 0xc0422c0c, type=FUNC, size=0x24)
[D] sys_call_table[197]: Symbol("__riscv_sys_shmdt" at 0xc0422e90, type=FUNC, size=0x24)
[D] sys_call_table[198]: Symbol("__riscv_sys_socket" at 0xc08218a0, type=FUNC, size=0x24)
[D] sys_call_table[199]: Symbol("__riscv_sys_socketpair" at 0xc0821b54, type=FUNC, size=0x24)
[D] sys_call_table[200]: Symbol("__riscv_sys_bind" at 0xc0821cbe, type=FUNC, size=0x24)
[D] sys_call_table[201]: Symbol("__riscv_sys_listen" at 0xc0821e0a, type=FUNC, size=0x24)
[D] sys_call_table[202]: Symbol("__riscv_sys_accept" at 0xc08220ac, type=FUNC, size=0x24)
[D] sys_call_table[203]: Symbol("__riscv_sys_connect" at 0xc0822200, type=FUNC, size=0x24)
[D] sys_call_table[204]: Symbol("__riscv_sys_getsockname" at 0xc0822324, type=FUNC, size=0x24)
[D] sys_call_table[205]: Symbol("__riscv_sys_getpeername" at 0xc0822448, type=FUNC, size=0x24)
[D] sys_call_table[206]: Symbol("__riscv_sys_sendto" at 0xc08225ca, type=FUNC, size=0x24)
[D] sys_call_table[207]: Symbol("__riscv_sys_recvfrom" at 0xc082275e, type=FUNC, size=0x24)
[D] sys_call_table[208]: Symbol("__riscv_sys_setsockopt" at 0xc0822880, type=FUNC, size=0x24)
[D] sys_call_table[209]: Symbol("__riscv_sys_getsockopt" at 0xc0822940, type=FUNC, size=0x24)
[D] sys_call_table[210]: Symbol("__riscv_sys_shutdown" at 0xc0822a58, type=FUNC, size=0x24)
[D] sys_call_table[211]: Symbol("__riscv_sys_sendmsg" at 0xc0822c00, type=FUNC, size=0x24)
[D] sys_call_table[212]: Symbol("__riscv_sys_recvmsg" at 0xc0822efa, type=FUNC, size=0x24)
[D] sys_call_table[213]: Symbol("__riscv_sys_readahead" at 0xc01c2eaa, type=FUNC, size=0x24)
[D] sys_call_table[214]: Symbol("__riscv_sys_brk" at 0xc01feae8, type=FUNC, size=0x24)
[D] sys_call_table[215]: Symbol("__riscv_sys_munmap" at 0xc01fef7c, type=FUNC, size=0x24)
[D] sys_call_table[216]: Symbol("__riscv_sys_mremap" at 0xc0202666, type=FUNC, size=0x24)
[D] sys_call_table[217]: Symbol("__riscv_sys_add_key" at 0xc0429ebc, type=FUNC, size=0x24)
[D] sys_call_table[218]: Symbol("__riscv_sys_request_key" at 0xc042a058, type=FUNC, size=0x24)
[D] sys_call_table[219]: Symbol("__riscv_sys_keyctl" at 0xc042b5e4, type=FUNC, size=0x24)
[D] sys_call_table[220]: Symbol("__riscv_sys_clone" at 0xc001eee6, type=FUNC, size=0x24)
[D] sys_call_table[221]: Symbol("__riscv_sys_execve" at 0xc026150e, type=FUNC, size=0x24)
[D] sys_call_table[222]: Symbol("__riscv_sys_mmap2" at 0xc0011352, type=FUNC, size=0x24)
[D] sys_call_table[223]: Symbol("__riscv_sys_fadvise64_64" at 0xc01bd4ec, type=FUNC, size=0x24)
[D] sys_call_table[224]: Symbol("__riscv_sys_swapon" at 0xc022ef42, type=FUNC, size=0x26)
[D] sys_call_table[225]: Symbol("__riscv_sys_swapoff" at 0xc022debc, type=FUNC, size=0x26)
[D] sys_call_table[226]: Symbol("__riscv_sys_mprotect" at 0xc020132c, type=FUNC, size=0x24)
[D] sys_call_table[227]: Symbol("__riscv_sys_msync" at 0xc020297a, type=FUNC, size=0x24)
[D] sys_call_table[228]: Symbol("__riscv_sys_mlock" at 0xc01fcbbc, type=FUNC, size=0x24)
[D] sys_call_table[229]: Symbol("__riscv_sys_munlock" at 0xc01fccfe, type=FUNC, size=0x24)
[D] sys_call_table[230]: Symbol("__riscv_sys_mlockall" at 0xc01fce98, type=FUNC, size=0x24)
[D] sys_call_table[231]: Symbol("__riscv_sys_munlockall" at 0xc01fcebc, type=FUNC, size=0xa2)
[D] sys_call_table[232]: Symbol("__riscv_sys_mincore" at 0xc01fb136, type=FUNC, size=0x24)
[D] sys_call_table[233]: Symbol("__riscv_sys_madvise" at 0xc02270f6, type=FUNC, size=0x24)
[D] sys_call_table[234]: Symbol("__riscv_sys_remap_file_pages" at 0xc01ff310, type=FUNC, size=0x24)
[D] sys_call_table[235]: Symbol("__riscv_sys_mbind" at 0xc023d152, type=FUNC, size=0x24)
[D] sys_call_table[236]: Symbol("__riscv_sys_get_mempolicy" at 0xc023b14c, type=FUNC, size=0x24)
[D] sys_call_table[237]: Symbol("__riscv_sys_set_mempolicy" at 0xc023a934, type=FUNC, size=0x24)
